,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.6429,0.0,0.0,0.2143,0.1429
true_pipe_2,0.6429,0.0,0.0,0.2143,0.1429
true_pipe_3,0.0,0.0,0.381,0.0952,0.5238
true_pipe_4,0.0,0.0,0.381,0.0952,0.5238
true_pipe_5,0.0,0.0,0.381,0.0952,0.5238
