true_position,pred_position,pipe_id
0.2,0.5032609701156616,1
0.2,0.5011940598487854,1
0.2,0.5003316402435303,1
0.2,0.5009257793426514,1
0.2,0.5019975304603577,1
0.2,0.5117052793502808,1
0.2,0.5010251998901367,1
0.2,0.501104474067688,1
0.2,0.5032042860984802,1
0.2,0.5032609701156616,1
0.2,0.5011940598487854,1
0.2,0.5003316402435303,1
0.2,0.5009257793426514,1
0.2,0.5019975304603577,1
0.2,0.5117052793502808,1
0.2,0.5010251998901367,1
0.2,0.501104474067688,1
0.2,0.5032042860984802,1
0.2,0.5032609701156616,1
0.2,0.5011940598487854,1
0.2,0.5003316402435303,1
0.2,0.5009257793426514,1
0.2,0.5019975304603577,1
0.2,0.5117052793502808,1
0.2,0.5010251998901367,1
0.2,0.501104474067688,1
0.2,0.5032042860984802,1
0.4,0.5032609701156616,1
0.4,0.5011940598487854,1
0.4,0.5003316402435303,1
0.4,0.5009257793426514,1
0.4,0.5019975304603577,1
0.4,0.5117052793502808,1
0.4,0.5010251998901367,1
0.4,0.501104474067688,1
0.4,0.5032042860984802,1
0.4,0.5032609701156616,1
0.4,0.5011940598487854,1
0.4,0.5003316402435303,1
0.4,0.5009257793426514,1
0.4,0.5019975304603577,1
0.4,0.5117052793502808,1
0.4,0.5010251998901367,1
0.4,0.501104474067688,1
0.4,0.5032042860984802,1
0.4,0.5032609701156616,1
0.4,0.5011940598487854,1
0.4,0.5003316402435303,1
0.4,0.5009257793426514,1
0.4,0.5019975304603577,1
0.4,0.5117052793502808,1
0.4,0.5010251998901367,1
0.4,0.501104474067688,1
0.4,0.5032042860984802,1
0.6,0.5032609701156616,1
0.6,0.5011940598487854,1
0.6,0.5003316402435303,1
0.6,0.5009257793426514,1
0.6,0.5019975304603577,1
0.6,0.5117052793502808,1
0.6,0.5010251998901367,1
0.6,0.501104474067688,1
0.6,0.5032042860984802,1
0.6,0.5032609701156616,1
0.6,0.5011940598487854,1
0.6,0.5003316402435303,1
0.6,0.5009257793426514,1
0.6,0.5019975304603577,1
0.6,0.5117052793502808,1
0.6,0.5010251998901367,1
0.6,0.501104474067688,1
0.6,0.5032042860984802,1
0.6,0.5032609701156616,1
0.6,0.5011940598487854,1
0.6,0.5003316402435303,1
0.6,0.5009257793426514,1
0.6,0.5019975304603577,1
0.6,0.5117052793502808,1
0.6,0.5010251998901367,1
0.6,0.501104474067688,1
0.6,0.5032042860984802,1
0.8,0.5032609701156616,1
0.8,0.5011940598487854,1
0.8,0.5003316402435303,1
0.8,0.5009257793426514,1
0.8,0.5019975304603577,1
0.8,0.5117052793502808,1
0.8,0.5010251998901367,1
0.8,0.501104474067688,1
0.8,0.5032042860984802,1
0.8,0.5032609701156616,1
0.8,0.5011940598487854,1
0.8,0.5003316402435303,1
0.8,0.5009257793426514,1
0.8,0.5019975304603577,1
0.8,0.5117052793502808,1
0.8,0.5010251998901367,1
0.8,0.501104474067688,1
0.8,0.5032042860984802,1
0.8,0.5032609701156616,1
0.8,0.5011940598487854,1
0.8,0.5003316402435303,1
0.8,0.5009257793426514,1
0.8,0.5019975304603577,1
0.8,0.5117052793502808,1
0.8,0.5010251998901367,1
0.8,0.501104474067688,1
0.8,0.5032042860984802,1
0.2,0.4948757290840149,3
0.2,0.4954531788825989,3
0.2,0.4940439760684967,3
0.2,0.5058109760284424,3
0.2,0.49701350927352905,3
0.2,0.4971705675125122,3
0.2,0.49696215987205505,3
0.2,0.49715760350227356,3
0.2,0.49837079644203186,3
0.2,0.4969100058078766,3
0.2,0.4979904890060425,3
0.2,0.4971081018447876,3
0.2,0.4908916652202606,3
0.2,0.4970787763595581,3
0.2,0.4971943795681,3
0.2,0.48683223128318787,3
0.4,0.49495673179626465,3
0.4,0.49545249342918396,3
0.4,0.49405184388160706,3
0.4,0.5058788061141968,3
0.4,0.49701327085494995,3
0.4,0.49719521403312683,3
0.4,0.4970416724681854,3
0.4,0.49719497561454773,3
0.4,0.498348593711853,3
0.4,0.49690133333206177,3
0.4,0.4979698657989502,3
0.4,0.49714094400405884,3
0.4,0.4909593462944031,3
0.4,0.49710753560066223,3
0.4,0.4972201883792877,3
