scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,1,0,-1.0,0.5033,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,5,0,-1.0,0.5061,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,5,0,-1.0,0.5042,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,4,0,-1.0,0.5042,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.5012,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,0,1,-1,1,0,-1.0,0.5003,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.5009,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,1,0,-1,4,0,-1.0,0.5135,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.502,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,1,0,-1.0,0.5117,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.501,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,4,0,-1.0,0.5072,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.5011,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,1,0,-1.0,0.5032,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,1,0,-1.0,0.5079,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,0,1,-1,1,0,-1.0,0.5057,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.5009,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,1,0,-1.0,0.5084,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,1,0,-1.0,0.5019,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,4,0,-1.0,0.5203,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,1,0,-1.0,0.501,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,0,1,-1,1,0,-1.0,0.5082,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,0,1,-1,1,0,-1.0,0.5083,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,1,0,-1.0,0.5028,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,1,0,-1.0,0.5008,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,0,1,-1,1,0,-1.0,0.502,,none,0,0,0,0,0,0
27,scenario_00027,base3.inp,0,0,1,-1,1,0,-1.0,0.5026,,none,0,0,0,0,0,0
28,scenario_00028,base3.inp,0,1,0,-1,4,0,-1.0,0.5159,,none,0,0,0,0,0,0
29,scenario_00029,base3.inp,0,0,1,-1,1,0,-1.0,0.5033,,none,0,0,0,0,0,0
30,scenario_00030,base3.inp,0,1,0,-1,5,0,-1.0,0.5021,,none,0,0,0,0,0,0
31,scenario_00031,base3.inp,0,1,0,-1,5,0,-1.0,0.5043,,none,0,0,0,0,0,0
32,scenario_00032,base3.inp,0,1,0,-1,4,0,-1.0,0.5049,,none,0,0,0,0,0,0
33,scenario_00033,base3.inp,0,0,1,-1,1,0,-1.0,0.5012,,none,0,0,0,0,0,0
34,scenario_00034,base3.inp,0,0,1,-1,1,0,-1.0,0.5011,,none,0,0,0,0,0,0
35,scenario_00035,base3.inp,0,0,1,-1,1,0,-1.0,0.5009,,none,0,0,0,0,0,0
36,scenario_00036,base3.inp,0,1,0,-1,4,0,-1.0,0.5193,,none,0,0,0,0,0,0
37,scenario_00037,base3.inp,0,0,1,-1,1,0,-1.0,0.502,,none,0,0,0,0,0,0
38,scenario_00038,base3.inp,0,0,1,-1,1,0,-1.0,0.5083,,none,0,0,0,0,0,0
39,scenario_00039,base3.inp,0,0,1,-1,1,0,-1.0,0.501,,none,0,0,0,0,0,0
40,scenario_00040,base3.inp,0,1,0,-1,4,0,-1.0,0.5104,,none,0,0,0,0,0,0
41,scenario_00041,base3.inp,0,0,1,-1,1,0,-1.0,0.5011,,none,0,0,0,0,0,0
42,scenario_00042,base3.inp,0,0,1,-1,1,0,-1.0,0.5023,,none,0,0,0,0,0,0
43,scenario_00043,base3.inp,0,0,1,-1,1,0,-1.0,0.5071,,none,0,0,0,0,0,0
44,scenario_00044,base3.inp,0,0,1,-1,1,0,-1.0,0.5062,,none,0,0,0,0,0,0
45,scenario_00045,base3.inp,0,0,1,-1,1,0,-1.0,0.5008,,none,0,0,0,0,0,0
46,scenario_00046,base3.inp,0,0,1,-1,1,0,-1.0,0.5092,,none,0,0,0,0,0,0
47,scenario_00047,base3.inp,0,0,1,-1,1,0,-1.0,0.5019,,none,0,0,0,0,0,0
48,scenario_00048,base3.inp,0,1,0,-1,4,0,-1.0,0.5193,,none,0,0,0,0,0,0
49,scenario_00049,base3.inp,0,0,1,-1,1,0,-1.0,0.501,,none,0,0,0,0,0,0
50,scenario_00050,base3.inp,0,0,1,-1,1,0,-1.0,0.5083,,none,0,0,0,0,0,0
51,scenario_00051,base3.inp,1,0,0,1,1,1,0.2,0.5033,0.3033,S,1,0,0,0,1,1
52,scenario_00052,base3.inp,1,1,1,1,5,0,0.2,0.5061,,S,0,1,1,0,1,1
53,scenario_00053,base3.inp,1,1,1,1,5,0,0.2,0.5042,,S,0,1,1,0,1,1
54,scenario_00054,base3.inp,1,1,1,1,4,0,0.2,0.5042,,S,0,1,1,0,1,1
55,scenario_00055,base3.inp,1,0,0,1,1,1,0.2,0.5012,0.3012,S,1,0,0,0,1,1
56,scenario_00056,base3.inp,1,0,0,1,1,1,0.2,0.5003,0.3003,S,1,0,0,0,1,1
57,scenario_00057,base3.inp,1,0,0,1,1,1,0.2,0.5009,0.3009,S,1,0,0,0,1,1
58,scenario_00058,base3.inp,1,1,1,1,4,0,0.2,0.5135,,S,0,1,1,0,1,1
59,scenario_00059,base3.inp,1,0,0,1,1,1,0.2,0.502,0.302,S,1,0,0,0,1,1
60,scenario_00060,base3.inp,1,0,0,1,1,1,0.2,0.5117,0.3117,S,1,0,0,0,1,1
61,scenario_00061,base3.inp,1,0,0,1,1,1,0.2,0.501,0.301,S,1,0,0,0,1,1
62,scenario_00062,base3.inp,1,1,1,1,4,0,0.2,0.5072,,S,0,1,1,0,1,1
63,scenario_00063,base3.inp,1,0,0,1,1,1,0.2,0.5011,0.3011,S,1,0,0,0,1,1
64,scenario_00064,base3.inp,1,0,0,1,1,1,0.2,0.5032,0.3032,S,1,0,0,0,1,1
65,scenario_00065,base3.inp,1,0,0,1,1,1,0.2,0.5033,0.3033,M,1,0,0,0,1,1
66,scenario_00066,base3.inp,1,1,1,1,5,0,0.2,0.5061,,M,0,1,1,0,1,1
67,scenario_00067,base3.inp,1,1,1,1,5,0,0.2,0.5042,,M,0,1,1,0,1,1
68,scenario_00068,base3.inp,1,1,1,1,4,0,0.2,0.5042,,M,0,1,1,0,1,1
