pipe_id,n_matched,mae,rmse,r2
1,108,0.2,0.223648,-0.00037
2,0,,,
3,64,0.199969,0.223634,-0.000244
4,16,0.19987,0.224044,-0.003915
5,88,0.19989,0.223848,-0.002159
