pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,108,108,60,0.5,0.6429,0.5625,168,216
2,0,0,168,0.0,0.0,0.0,168,0
3,64,128,104,0.3333,0.381,0.3556,168,192
4,16,113,152,0.124,0.0952,0.1077,168,129
5,88,228,80,0.2785,0.5238,0.3636,168,316
