pipe_id,n_matched,mae,rmse,r2
1,151,0.130344,0.169146,0.424702
2,103,0.133293,0.160614,0.396756
3,164,0.178693,0.214076,0.073707
4,168,0.147241,0.197206,0.222192
5,168,0.178637,0.221143,0.021916
