pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,151,11,17,0.9321,0.8988,0.9152,168,162
2,103,6,65,0.945,0.6131,0.7437,168,109
3,164,81,4,0.6694,0.9762,0.7942,168,245
4,168,2,0,0.9882,1.0,0.9941,168,170
5,168,1,0,0.9941,1.0,0.997,168,169
