pipe_id,n_matched,mae,rmse,r2
1,140,0.164032,0.202203,0.161893
2,136,0.168008,0.198933,0.194009
3,96,0.169759,0.198762,0.121746
4,160,0.195625,0.227932,-0.039579
5,168,0.199977,0.225669,-0.018531
