,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.8333,0.0298,0.0,0.1369,0.0
true_pipe_2,0.119,0.8095,0.0,0.0655,0.006
true_pipe_3,0.0,0.0,0.5714,0.4226,0.006
true_pipe_4,0.0,0.0,0.0476,0.9524,0.0
true_pipe_5,0.0,0.0,0.0,0.0,1.0
