pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,140,31,28,0.8187,0.8333,0.826,168,171
2,136,7,32,0.951,0.8095,0.8746,168,143
3,96,10,72,0.9057,0.5714,0.7007,168,106
4,160,111,8,0.5904,0.9524,0.7289,168,271
5,168,7,0,0.96,1.0,0.9796,168,175
