pipe_id,n_matched,mae,rmse,r2
1,107,0.192647,0.229217,-0.043897
2,102,0.177972,0.202103,0.100886
3,64,0.206378,0.23067,-0.456832
4,4,0.199944,0.225151,-0.013861
5,146,0.200083,0.225248,-0.014884
