,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.6369,0.1845,0.1786,0.0,0.0
true_pipe_2,0.0298,0.6071,0.2976,0.0,0.0655
true_pipe_3,0.0,0.0357,0.381,0.0179,0.5655
true_pipe_4,0.0,0.0238,0.0952,0.0238,0.8571
true_pipe_5,0.0,0.0238,0.0952,0.0119,0.869
