true_position,pred_position,pipe_id
0.2,0.4259679913520813,1
0.2,0.4092080891132355,1
0.2,0.4655957520008087,1
0.2,0.4106283485889435,1
0.2,0.42143431305885315,1
0.2,0.47128060460090637,1
0.2,0.4118827283382416,1
0.2,0.41272005438804626,1
0.2,0.4524829089641571,1
0.2,0.36070263385772705,1
0.2,0.3659748136997223,1
0.2,0.44036832451820374,1
0.2,0.3630235195159912,1
0.2,0.37112054228782654,1
0.2,0.4207765460014343,1
0.2,0.36916860938072205,1
0.2,0.35793957114219666,1
0.2,0.40725934505462646,1
0.2,0.35641586780548096,1
0.2,0.3527697026729584,1
0.2,0.41725748777389526,1
0.2,0.35675278306007385,1
0.2,0.4315521717071533,1
0.2,0.3669426441192627,1
0.2,0.4093409776687622,1
0.2,0.357443630695343,1
0.2,0.3503548204898834,1
0.2,0.3913615643978119,1
0.4,0.42861098051071167,1
0.4,0.41262075304985046,1
0.4,0.466959148645401,1
0.4,0.4140053987503052,1
0.4,0.4246126413345337,1
0.4,0.4744343161582947,1
0.4,0.4153668284416199,1
0.4,0.4161175489425659,1
0.4,0.45623496174812317,1
0.4,0.36701586842536926,1
0.4,0.37835797667503357,1
0.4,0.4434909224510193,1
0.4,0.37444040179252625,1
0.4,0.37972429394721985,1
0.4,0.4278947710990906,1
0.4,0.38144996762275696,1
0.4,0.36687999963760376,1
0.4,0.42022082209587097,1
0.4,0.37476614117622375,1
0.4,0.38072243332862854,1
0.4,0.42257001996040344,1
0.4,0.3893693685531616,1
0.4,0.388781875371933,1
0.4,0.4169677793979645,1
0.4,0.39047324657440186,1
0.4,0.3778408467769623,1
0.4,0.4080359935760498,1
0.6,0.4313684403896332,1
0.6,0.416286438703537,1
0.6,0.4179075062274933,1
0.6,0.42790257930755615,1
0.6,0.47718918323516846,1
0.6,0.4191245138645172,1
0.6,0.4200599789619446,1
0.6,0.46058547496795654,1
0.6,0.3740851581096649,1
0.6,0.3931258022785187,1
0.6,0.4463723599910736,1
0.6,0.3900125026702881,1
0.6,0.38974612951278687,1
0.6,0.4357575476169586,1
0.6,0.39793989062309265,1
0.6,0.38026368618011475,1
0.6,0.43223580718040466,1
0.6,0.39359286427497864,1
0.6,0.41892918944358826,1
0.6,0.4268667697906494,1
0.6,0.42286035418510437,1
0.6,0.41320425271987915,1
0.6,0.4241928160190582,1
0.6,0.4262566566467285,1
0.6,0.4098604917526245,1
0.6,0.4176786541938782,1
0.8,0.4342057406902313,1
0.8,0.42052069306373596,1
0.8,0.4220733344554901,1
0.8,0.43082740902900696,1
0.8,0.47967958450317383,1
0.8,0.42302846908569336,1
0.8,0.4238077402114868,1
0.8,0.46535786986351013,1
0.8,0.3827022314071655,1
0.8,0.41392895579338074,1
0.8,0.4490412175655365,1
0.8,0.4089290201663971,1
0.8,0.4017520248889923,1
0.8,0.44371628761291504,1
0.8,0.42201998829841614,1
0.8,0.39615970849990845,1
0.8,0.4453326463699341,1
0.8,0.4133603572845459,1
0.8,0.43799087405204773,1
0.8,0.4308488368988037,1
0.8,0.44153231382369995,1
0.8,0.4325272738933563,1
0.8,0.42975446581840515,1
0.8,0.4421995282173157,1
0.8,0.4342351257801056,1
0.8,0.42387375235557556,1
0.2,0.44052886962890625,2
0.2,0.47576919198036194,2
0.2,0.4432106912136078,2
0.2,0.4910261332988739,2
0.2,0.44368112087249756,2
0.2,0.4904538094997406,2
0.2,0.44422951340675354,2
0.2,0.48441562056541443,2
0.2,0.4588720500469208,2
0.2,0.47737395763397217,2
0.2,0.4678777754306793,2
0.2,0.46496427059173584,2
0.2,0.4865405857563019,2
0.2,0.4905039370059967,2
0.2,0.47429928183555603,2
0.2,0.4656727910041809,2
0.2,0.4627515971660614,2
0.2,0.4657931327819824,2
0.2,0.45247599482536316,2
0.2,0.4661015570163727,2
0.2,0.4555634558200836,2
0.2,0.4681268334388733,2
0.2,0.4527807831764221,2
0.2,0.46613913774490356,2
0.2,0.47114232182502747,2
0.2,0.4648612439632416,2
0.2,0.45565733313560486,2
0.4,0.460933655500412,2
0.4,0.46510130167007446,2
0.4,0.4802907705307007,2
0.4,0.4642259180545807,2
0.4,0.49886223673820496,2
0.4,0.4601551294326782,2
0.4,0.5020751357078552,2
0.4,0.4706251919269562,2
0.4,0.4611406624317169,2
0.4,0.5101125240325928,2
0.4,0.46989718079566956,2
0.4,0.5017910003662109,2
0.4,0.46938151121139526,2
0.4,0.4962201714515686,2
0.4,0.4703211188316345,2
0.4,0.4854332506656647,2
0.4,0.4782007336616516,2
0.4,0.5006718635559082,2
0.4,0.49390214681625366,2
0.4,0.4802519977092743,2
0.4,0.4727911651134491,2
0.4,0.4747869372367859,2
0.4,0.45696932077407837,2
0.4,0.47543081641197205,2
0.4,0.4747529923915863,2
0.4,0.46730631589889526,2
0.4,0.4755180776119232,2
0.4,0.47456005215644836,2
0.4,0.4592137336730957,2
0.6,0.47491031885147095,2
0.6,0.49324244260787964,2
0.6,0.4840928018093109,2
0.6,0.4954098165035248,2
0.6,0.5058528780937195,2
0.6,0.4832538366317749,2
0.6,0.5108492374420166,2
0.6,0.48434486985206604,2
0.6,0.5243723392486572,2
0.6,0.49761390686035156,2
0.6,0.5075456500053406,2
0.6,0.4778468906879425,2
0.6,0.5033600330352783,2
0.6,0.4737585783004761,2
0.6,0.5015925168991089,2
0.6,0.48716452717781067,2
0.6,0.5056482553482056,2
0.6,0.5028505325317383,2
0.6,0.49124443531036377,2
0.6,0.4747586250305176,2
0.6,0.4781469404697418,2
0.6,0.4590039849281311,2
0.6,0.4789797365665436,2
0.6,0.4778178334236145,2
0.6,0.47571900486946106,2
0.6,0.47885605692863464,2
0.6,0.47851940989494324,2
0.8,0.49032077193260193,2
0.8,0.48686376214027405,2
0.8,0.5111998319625854,2
0.8,0.5206230282783508,2
0.8,0.5389462113380432,2
0.8,0.5078657865524292,2
0.8,0.5114419460296631,2
0.8,0.4819943308830261,2
0.8,0.5075163245201111,2
0.8,0.508655309677124,2
0.8,0.49588319659233093,2
0.8,0.5093965530395508,2
0.8,0.5078256130218506,2
0.8,0.4953593909740448,2
0.8,0.4787600636482239,2
0.8,0.4799986481666565,2
0.8,0.48009511828422546,2
0.8,0.4793049991130829,2
0.8,0.4797549843788147,2
0.2,0.5266031622886658,3
0.2,0.4701518416404724,3
0.2,0.5320839881896973,3
0.2,0.5160914063453674,3
0.2,0.5276212096214294,3
0.2,0.5299398899078369,3
0.2,0.5216028094291687,3
0.2,0.5601519346237183,3
0.2,0.5149744153022766,3
0.2,0.4645659029483795,3
0.2,0.516075849533081,3
0.2,0.486341267824173,3
0.2,0.5168538689613342,3
0.2,0.4815484583377838,3
0.2,0.5185965299606323,3
0.2,0.5126637816429138,3
0.2,0.5145397186279297,3
0.2,0.501224935054779,3
0.2,0.5192930102348328,3
0.2,0.500796377658844,3
0.2,0.47772759199142456,3
0.2,0.46243172883987427,3
0.2,0.47894954681396484,3
0.2,0.461916983127594,3
0.2,0.47933533787727356,3
0.2,0.46904855966567993,3
0.2,0.48010435700416565,3
0.2,0.4799676537513733,3
0.2,0.4790504276752472,3
0.2,0.47941428422927856,3
0.2,0.4654422402381897,3
0.4,0.5370913743972778,3
0.4,0.47078293561935425,3
0.4,0.5190314054489136,3
0.4,0.5232190489768982,3
0.4,0.5204422473907471,3
0.4,0.46582508087158203,3
0.4,0.5188794732093811,3
0.4,0.48903894424438477,3
0.4,0.5199329257011414,3
0.4,0.4835367202758789,3
0.4,0.5225939154624939,3
0.4,0.517536997795105,3
0.4,0.5166587233543396,3
0.4,0.5226562023162842,3
0.4,0.5044850707054138,3
0.4,0.4627756178379059,3
0.6,0.47135666012763977,3
0.6,0.5218393802642822,3
0.6,0.5494439601898193,3
0.6,0.5247251391410828,3
0.6,0.5246452689170837,3
0.6,0.52237868309021,3
0.6,0.49184319376945496,3
0.6,0.5238763689994812,3
0.6,0.527006208896637,3
0.6,0.5200028419494629,3
0.6,0.5199903249740601,3
0.6,0.5267567038536072,3
0.6,0.4638717770576477,3
0.8,0.47192487120628357,3
0.8,0.5242173671722412,3
0.8,0.5535485148429871,3
