pipe_id,n_matched,mae,rmse,r2
1,44,0.199966,0.224183,-0.005163
2,90,0.200522,0.224282,-0.006449
3,56,0.199879,0.223832,-0.002012
4,16,0.199958,0.223682,-0.000675
5,96,0.199941,0.224673,-0.009562
