pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,44,47,124,0.4835,0.2619,0.3398,168,91
2,90,91,78,0.4972,0.5357,0.5158,168,181
3,56,136,112,0.2917,0.3333,0.3111,168,192
4,16,89,152,0.1524,0.0952,0.1172,168,105
5,96,192,72,0.3333,0.5714,0.4211,168,288
