,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.2619,0.5238,0.0714,0.1429,0.0
true_pipe_2,0.25,0.5357,0.0714,0.1429,0.0
true_pipe_3,0.0,0.0,0.3333,0.0952,0.5714
true_pipe_4,0.0,0.0,0.3333,0.0952,0.5714
true_pipe_5,0.0,0.0,0.3155,0.1131,0.5714
