pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,132,5,36,0.9635,0.7857,0.8656,168,137
2,129,1,39,0.9923,0.7679,0.8658,168,130
3,78,46,90,0.629,0.4643,0.5342,168,124
4,154,179,14,0.4625,0.9167,0.6148,168,333
5,68,62,100,0.5231,0.4048,0.4564,168,130
