pipe_id,n_matched,mae,rmse,r2
1,132,0.196619,0.222385,0.010895
2,129,0.178611,0.203107,0.179951
3,78,0.177971,0.206242,0.121087
4,154,0.174136,0.199882,0.157732
5,68,0.199704,0.225867,-0.02032
