pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,114,0,54,1.0,0.6786,0.8085,168,114
2,113,16,55,0.876,0.6726,0.7609,168,129
3,62,80,106,0.4366,0.369,0.4,168,142
4,158,173,10,0.4773,0.9405,0.6333,168,331
5,50,96,118,0.3425,0.2976,0.3185,168,146
