pipe_id,n_matched,mae,rmse,r2
1,114,0.124606,0.153965,0.474526
2,113,0.178805,0.211866,0.108446
3,62,0.17464,0.198395,0.042879
4,158,0.177662,0.207077,0.122821
5,50,0.204069,0.229996,-0.025161
