,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.6786,0.0476,0.131,0.1131,0.0298
true_pipe_2,0.0,0.6726,0.0536,0.1488,0.125
true_pipe_3,0.0,0.0,0.369,0.256,0.375
true_pipe_4,0.0,0.0,0.0179,0.9405,0.0417
true_pipe_5,0.0,0.0,0.2262,0.4762,0.2976
