,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.6369,0.256,0.1071,0.0,0.0
true_pipe_2,0.0833,0.6012,0.3155,0.0,0.0
true_pipe_3,0.0,0.0417,0.5774,0.375,0.006
true_pipe_4,0.0,0.0238,0.1905,0.7143,0.0714
true_pipe_5,0.0,0.0,0.0833,0.0298,0.8869
