pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,107,18,61,0.856,0.6369,0.7304,168,125
2,101,60,67,0.6273,0.6012,0.614,168,161
3,97,123,71,0.4409,0.5774,0.5,168,220
4,120,71,48,0.6283,0.7143,0.6685,168,191
5,149,13,19,0.9198,0.8869,0.903,168,162
