pipe_id,n_matched,mae,rmse,r2
1,107,0.191536,0.229047,-0.057323
2,101,0.172288,0.199439,0.025378
3,97,0.181833,0.213913,-0.09187
4,120,0.199835,0.231381,-0.070742
5,149,0.148573,0.178797,0.35352
