pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,51,11,117,0.8226,0.3036,0.4435,168,62
2,39,53,129,0.4239,0.2321,0.3,168,92
3,121,89,47,0.5762,0.7202,0.6402,168,210
4,168,83,0,0.6693,1.0,0.8019,168,251
5,168,81,0,0.6747,1.0,0.8058,168,249
