pipe_id,n_matched,mae,rmse,r2
1,51,0.183165,0.211124,0.083954
2,39,0.196445,0.221708,-0.131411
3,121,0.199765,0.235659,-0.112849
4,168,0.175743,0.209702,0.120498
5,168,0.182171,0.210552,0.113359
