,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.3036,0.1964,0.0714,0.2143,0.2143
true_pipe_2,0.0357,0.2321,0.4405,0.1667,0.125
true_pipe_3,0.006,0.1071,0.7202,0.0774,0.0893
true_pipe_4,0.0,0.0,0.0,1.0,0.0
true_pipe_5,0.0,0.0,0.0,0.0,1.0
