pipe_id,n_matched,mae,rmse,r2
1,144,0.108357,0.143369,0.588126
2,158,0.093291,0.124027,0.689109
3,168,0.1418,0.170628,0.417721
4,168,0.133463,0.164874,0.456334
5,168,0.122099,0.149429,0.553419
