pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,144,11,24,0.929,0.8571,0.8916,168,155
2,158,14,10,0.9186,0.9405,0.9294,168,172
3,168,9,0,0.9492,1.0,0.9739,168,177
4,168,16,0,0.913,1.0,0.9545,168,184
5,168,2,0,0.9882,1.0,0.9941,168,170
