,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.4226,0.3214,0.0833,0.1012,0.0714
true_pipe_2,0.0417,0.4167,0.3274,0.0298,0.1845
true_pipe_3,0.0,0.2024,0.2857,0.0,0.5119
true_pipe_4,0.0238,0.0238,0.0,0.9524,0.0
true_pipe_5,0.0,0.1667,0.1429,0.0,0.6905
