pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,71,15,97,0.8256,0.4226,0.5591,168,86
2,70,130,98,0.35,0.4167,0.3804,168,200
3,48,95,120,0.3357,0.2857,0.3087,168,143
4,160,29,8,0.8466,0.9524,0.8964,168,189
5,116,131,52,0.4696,0.6905,0.559,168,247
