pipe_id,n_matched,mae,rmse,r2
1,71,0.190066,0.214279,0.00576
2,70,0.206264,0.231947,-0.081109
3,48,0.196169,0.222382,-0.032454
4,160,0.199888,0.224317,-0.006366
5,116,0.200054,0.227251,-0.03286
