scenario_id,label_detection,label_pipe,group,P2_mae,P2_rmse,P2_r2,P3_mae,P3_rmse,P3_r2,P5_mae,P5_rmse,P5_r2,P6_mae,P6_rmse,P6_r2,Q2a_mae,Q2a_rmse,Q2a_r2,Q4a_mae,Q4a_rmse,Q4a_r2,Q5a_mae,Q5a_rmse,Q5a_r2
scenario_00022,0,-1,no-leak,0.026237,0.090831,0.474953,0.123495,0.361685,0.470435,0.231963,0.406491,0.420052,0.232745,0.406899,0.375069,7.6e-05,0.000212,0.473706,2.7e-05,3.8e-05,0.086963,2.4e-05,3.2e-05,-3.001529
scenario_00023,0,-1,no-leak,4.5e-05,0.000135,0.99996,0.003111,0.004914,0.997296,0.06563,0.086498,0.764331,0.117574,0.165338,0.779671,3e-06,4e-06,0.995634,1.3e-05,1.8e-05,-7.48305,2.5e-05,3.5e-05,0.312948
scenario_00021,0,-1,no-leak,1.6e-05,4.3e-05,0.999971,0.002158,0.004145,0.972973,0.011049,0.018025,0.775072,0.015036,0.024432,0.134805,2e-06,4e-06,0.94785,2e-06,4e-06,0.342744,3e-06,5e-06,0.0
scenario_00024,0,-1,no-leak,4e-06,6e-06,1.0,0.004231,0.007334,0.992779,0.139871,0.237286,0.721224,0.08459,0.124909,0.442043,4e-06,6e-06,0.987936,2.9e-05,4.8e-05,0.264905,1.7e-05,2.5e-05,0.0
scenario_00027,0,-1,no-leak,0.001236,0.003377,0.994945,0.014648,0.029548,0.887994,0.226774,0.301043,0.347224,0.113415,0.134116,0.198833,1.2e-05,2.3e-05,0.756584,4.5e-05,5.7e-05,-0.504737,2.4e-05,2.7e-05,0.0
scenario_00025,0,-1,no-leak,3e-06,5e-06,0.999999,0.001885,0.003741,0.89194,0.019233,0.026201,0.306777,0.017171,0.024413,-0.257718,2e-06,3e-06,0.834526,4e-06,5e-06,-1.006796,3e-06,5e-06,0.0
scenario_00026,0,-1,no-leak,4e-06,7e-06,1.0,0.001495,0.002375,0.997129,0.02595,0.039486,0.8628,0.031351,0.044705,0.218471,1e-06,2e-06,0.974167,6e-06,9e-06,0.580025,7e-06,9e-06,-1.400703
scenario_00029,0,-1,no-leak,0.002305,0.006768,0.911507,0.008589,0.014598,0.983273,0.082779,0.150811,0.549254,0.095483,0.160991,0.539732,5e-06,9e-06,0.985572,1.7e-05,3e-05,-4479.981934,1.8e-05,3.2e-05,-1.97773
scenario_00028,0,-1,no-leak,3e-06,6e-06,1.0,0.009296,0.019981,0.977854,0.193887,0.24729,0.127801,0.359986,0.46599,0.632101,8e-06,1.6e-05,0.966121,3.9e-05,4.9e-05,-14.143796,7.3e-05,9.2e-05,0.204918
scenario_00030,0,-1,no-leak,6e-06,1e-05,1.0,0.011278,0.014574,0.997358,0.5232,0.688937,0.545001,0.309018,0.372337,0.305436,9e-06,1.2e-05,0.995806,0.000101,0.000129,-0.21803,6.2e-05,7.5e-05,-15.955948
scenario_00031,0,-1,no-leak,5e-06,9e-06,1.0,0.013304,0.018636,0.989026,0.424603,0.544235,0.612231,0.29595,0.362466,0.129897,1.1e-05,1.5e-05,0.983507,8.3e-05,0.000105,-0.03628,6e-05,7.3e-05,-5.520905
scenario_00033,0,-1,no-leak,3e-06,5e-06,1.0,0.001772,0.00344,0.979568,0.011685,0.017892,0.794955,0.01493,0.023705,0.191714,2e-06,3e-06,0.962247,3e-06,4e-06,0.240661,3e-06,5e-06,0.0
scenario_00032,0,-1,no-leak,1.4e-05,2.1e-05,1.0,0.029017,0.051241,0.989872,0.453397,0.543334,0.737113,0.309833,0.358611,0.809932,2.2e-05,3.8e-05,0.984928,8.8e-05,0.000106,0.17073,6.3e-05,7.3e-05,-0.563756
scenario_00034,0,-1,no-leak,1.9e-05,3.3e-05,1.0,0.102632,0.192727,0.982034,0.546319,0.914992,0.823777,0.756854,1.438493,0.875946,7.1e-05,0.000134,0.971883,8.5e-05,0.000144,-40.152794,0.000129,0.000233,0.498957
scenario_00035,0,-1,no-leak,1e-06,3e-06,1.0,0.001683,0.003305,0.70616,0.014037,0.015762,-0.884314,0.016143,0.022758,-9.584178,1e-06,3e-06,-3.645539,3e-06,3e-06,-4.689828,3e-06,4e-06,0.0
scenario_00036,0,-1,no-leak,0.004121,0.01018,0.954923,0.012499,0.025333,0.968947,0.159167,0.249469,0.554791,0.247727,0.316875,-0.126658,1.1e-05,2.5e-05,0.909582,3.1e-05,4.5e-05,-0.511226,5e-05,6e-05,-4.987103
scenario_00037,0,-1,no-leak,2e-06,6e-06,0.999999,0.001671,0.00312,0.986508,0.021022,0.036934,0.379568,0.025885,0.048052,0.833743,1e-06,3e-06,0.97826,4e-06,8e-06,0.0,5e-06,1e-05,0.562085
scenario_00038,0,-1,no-leak,9e-06,1.1e-05,1.0,0.016074,0.029377,0.995809,0.193486,0.242772,0.873233,0.213193,0.246255,0.746099,1.3e-05,2.5e-05,0.991467,3.9e-05,5e-05,-0.167348,4.2e-05,5e-05,-1.784814
scenario_00039,0,-1,no-leak,4e-06,8e-06,0.999998,0.001796,0.00358,0.870822,0.015021,0.018355,-0.66802,0.017214,0.02241,0.584036,2e-06,3e-06,0.371372,3e-06,4e-06,-49.787514,3e-06,4e-06,-0.109396
scenario_00040,0,-1,no-leak,1.1e-05,1.8e-05,1.0,0.029126,0.042768,0.995495,0.856672,1.491409,0.695607,0.574065,0.790919,0.596867,2.2e-05,3.2e-05,0.993085,0.000141,0.000233,0.374265,0.000109,0.000149,-2.84067
scenario_00041,0,-1,no-leak,2e-06,4e-06,0.999999,0.001683,0.003326,0.799711,0.017481,0.024112,0.490563,0.014749,0.021369,-1.683571,1e-06,3e-06,0.596923,4e-06,5e-06,-0.125051,3e-06,4e-06,0.0
scenario_00042,0,-1,no-leak,2e-05,3.3e-05,1.0,0.043135,0.074685,0.991021,0.687739,1.065169,0.450151,0.959448,1.531783,0.812228,3.2e-05,5.3e-05,0.986793,0.000127,0.000193,-18.489786,0.000154,0.000234,0.494831
