scenario_id,label_detection,label_pipe,group,P2_mae,P2_rmse,P2_r2,P3_mae,P3_rmse,P3_r2,P5_mae,P5_rmse,P5_r2,P6_mae,P6_rmse,P6_r2,Q2a_mae,Q2a_rmse,Q2a_r2,Q4a_mae,Q4a_rmse,Q4a_r2,Q5a_mae,Q5a_rmse,Q5a_r2
scenario_00105,1,1,pipe-1,0.014645,0.017936,-3.130293,0.001625,0.003214,0.843411,0.017327,0.023905,0.362541,0.014694,0.021263,-2.632599,1.2e-05,1.4e-05,-8.755056,4e-06,5e-06,-0.133788,3e-06,4e-06,0.0
scenario_00104,1,1,pipe-1,0.016142,0.019806,0.979382,0.026958,0.039282,0.996096,0.858501,1.493103,0.693806,0.555121,0.772439,0.595779,1.3e-05,2e-05,0.997346,0.000142,0.000233,0.370184,0.000106,0.000146,-3.547214
scenario_00103,1,1,pipe-1,0.014661,0.017956,-1.991331,0.001852,0.003553,0.93793,0.015006,0.018685,-0.062145,0.016535,0.02183,0.680303,1.1e-05,1.4e-05,-10.789908,3e-06,4e-06,-55.834332,3e-06,4e-06,-0.033974
scenario_00106,1,1,pipe-1,0.015049,0.018435,0.989275,0.041728,0.068877,0.992218,0.692866,1.067293,0.439428,0.978938,1.55414,0.8077,3e-05,4.7e-05,0.989633,0.000129,0.000195,-14.509105,0.000157,0.000236,0.492133
scenario_00107,1,1,pipe-1,0.03725,0.04562,-6.574403,0.005509,0.011698,0.989547,0.088902,0.168554,0.494116,0.090078,0.169868,0.53827,3.6e-05,4.1e-05,0.77435,1.8e-05,3.3e-05,-6288.745117,1.8e-05,3.4e-05,-2.362554
scenario_00108,1,1,pipe-1,0.039444,0.048318,0.368426,0.012451,0.017884,0.995443,0.483815,0.636655,0.559941,0.29469,0.348216,0.374382,2.5e-05,3e-05,0.96724,9.4e-05,0.000121,-0.191916,5.9e-05,7e-05,-13.747048
scenario_00109,1,1,pipe-1,0.038809,0.047538,0.079736,0.013036,0.018738,0.990349,0.427498,0.550071,0.620235,0.305157,0.365315,0.186866,2.7e-05,3.2e-05,0.926464,8.4e-05,0.000106,-0.042291,6.2e-05,7.3e-05,-4.634054
scenario_00111,1,1,pipe-1,0.037189,0.045548,-5.036374,0.001809,0.003365,0.971047,0.011513,0.017716,0.804416,0.014969,0.023656,0.004255,3.1e-05,3.9e-05,-6.716764,3e-06,4e-06,0.237523,3e-06,5e-06,0.0
scenario_00110,1,1,pipe-1,0.041149,0.050446,0.802387,0.024856,0.042095,0.99218,0.430393,0.5314,0.713019,0.301965,0.34823,0.796582,2.8e-05,3.2e-05,0.987556,8.4e-05,0.000104,0.150619,6.2e-05,7.1e-05,-0.600212
scenario_00112,1,1,pipe-1,0.038631,0.047312,0.971244,0.101469,0.181948,0.984093,0.557384,0.91679,0.824662,0.791961,1.452894,0.873976,9.2e-05,0.00013,0.97411,8.8e-05,0.000146,-40.340374,0.000135,0.000235,0.493538
scenario_00113,1,1,pipe-1,0.03721,0.045572,-5.920291,0.001891,0.00349,0.962156,0.013884,0.015699,0.51686,0.016372,0.022913,-0.446102,3.1e-05,3.8e-05,-787.058472,3e-06,3e-06,-4.565185,3e-06,4e-06,0.0
scenario_00114,1,1,pipe-1,0.038914,0.047669,-0.010859,0.002183,0.003636,0.999391,0.141194,0.177953,0.785897,0.220039,0.256883,0.303412,3.4e-05,4e-05,0.795421,3e-05,3.7e-05,0.015975,4.6e-05,5.4e-05,-3.898221
scenario_00115,1,1,pipe-1,0.037203,0.045565,-3.8915,0.001821,0.003182,0.992895,0.020917,0.036904,0.57382,0.026011,0.048061,0.852765,3.1e-05,3.8e-05,-3.270324,4e-06,8e-06,0.0,5e-06,1e-05,0.562709
scenario_00117,1,1,pipe-1,0.037207,0.04557,-4.047016,0.002172,0.003858,0.972511,0.014798,0.018642,0.491279,0.016858,0.022074,0.760017,3.1e-05,3.8e-05,-85.660095,3e-06,4e-06,-55.846573,3e-06,4e-06,-0.034298
scenario_00116,1,1,pipe-1,0.038908,0.047747,0.827739,0.019789,0.040963,0.992135,0.199501,0.247118,0.8838,0.214915,0.241558,0.774861,3.4e-05,3.9e-05,0.980587,3.9e-05,5e-05,-0.000669,4.2e-05,4.9e-05,-1.669688
scenario_00118,1,1,pipe-1,0.040898,0.050179,0.882255,0.027408,0.039826,0.996086,0.858138,1.492536,0.695591,0.555482,0.773014,0.600102,1.6e-05,2.2e-05,0.996521,0.000142,0.000233,0.370183,0.000106,0.000146,-3.547211
scenario_00119,1,1,pipe-1,0.037177,0.045532,-4.921999,0.001779,0.003273,0.960302,0.017189,0.023891,0.226712,0.014848,0.021307,-0.854247,3.1e-05,3.9e-05,-70.031578,4e-06,5e-06,-0.133806,3e-06,4e-06,0.0
scenario_00120,1,1,pipe-1,0.038186,0.046788,0.924112,0.041603,0.068692,0.992091,0.692919,1.067261,0.433138,0.978859,1.554136,0.806735,4e-05,5.2e-05,0.987267,0.000129,0.000195,-14.509038,0.000157,0.000236,0.492132
scenario_00121,1,1,pipe-1,0.06839,0.083758,-14.400682,0.005953,0.011803,0.988082,0.088863,0.168585,0.461702,0.090404,0.169851,0.520602,6.4e-05,7.4e-05,0.255899,1.8e-05,3.3e-05,-6288.746582,1.8e-05,3.4e-05,-2.362554
scenario_00123,1,1,pipe-1,0.071193,0.087208,-1.044532,0.013466,0.018782,0.991187,0.427162,0.549481,0.627925,0.30559,0.365651,0.207859,5.4e-05,6.4e-05,0.710848,8.4e-05,0.000106,-0.042298,6.2e-05,7.3e-05,-4.633978
scenario_00122,1,1,pipe-1,0.07233,0.088605,-0.466624,0.012798,0.018225,0.995614,0.483448,0.635774,0.569549,0.295059,0.34904,0.400439,5.1e-05,6.2e-05,0.861119,9.4e-05,0.000121,-0.191874,5.9e-05,7e-05,-13.747874
scenario_00124,1,1,pipe-1,0.075398,0.092431,0.452711,0.02557,0.043859,0.991756,0.429893,0.530674,0.714177,0.30243,0.348722,0.799974,4.7e-05,6e-05,0.957208,8.4e-05,0.000104,0.150612,6.2e-05,7.1e-05,-0.600199
scenario_00125,1,1,pipe-1,0.06829,0.083639,-5.720121,0.002209,0.003745,0.982377,0.011169,0.017653,0.860442,0.015361,0.023728,0.44673,5.9e-05,7.2e-05,-26.108824,3e-06,4e-06,0.237786,3e-06,5e-06,0.0
scenario_00126,1,1,pipe-1,0.070865,0.086795,0.894398,0.102172,0.182288,0.983758,0.558049,0.916911,0.822561,0.792641,1.452979,0.87314,0.000114,0.000142,0.969017,8.8e-05,0.000146,-40.34034,0.000135,0.000235,0.493538
scenario_00127,1,1,pipe-1,0.068321,0.083675,-6.025589,0.002304,0.003952,0.984867,0.013522,0.015562,0.813002,0.016784,0.023132,0.512458,5.9e-05,7.2e-05,-2774.052979,3e-06,3e-06,-4.564398,3e-06,4e-06,0.0
scenario_00128,1,1,pipe-1,0.071379,0.087441,-1.793389,0.002583,0.004191,0.999193,0.141594,0.178191,0.777337,0.220435,0.257371,0.286596,6.1e-05,7.4e-05,0.303556,3e-05,3.7e-05,0.015974,4.6e-05,5.4e-05,-3.898142
scenario_00130,1,1,pipe-1,0.071326,0.087524,0.425166,0.020336,0.04133,0.991885,0.197432,0.245908,0.884749,0.218076,0.245603,0.764222,5.4e-05,6.5e-05,0.947101,3.9e-05,5e-05,0.001402,4.2e-05,4.9e-05,-1.73873
scenario_00129,1,1,pipe-1,0.068319,0.083673,-4.718829,0.002355,0.003905,0.99386,0.021291,0.037042,0.694354,0.026466,0.048047,0.869226,5.9e-05,7.2e-05,-13.967654,4e-06,8e-06,0.0,5e-06,1e-05,0.562632
scenario_00131,1,1,pipe-1,0.068328,0.083684,-4.828951,0.002805,0.004888,0.982677,0.014237,0.018554,0.776935,0.01751,0.022518,0.838801,5.8e-05,7.2e-05,-304.581482,3e-06,4e-06,-55.871487,3e-06,4e-06,-0.03438
scenario_00132,1,1,pipe-1,0.074934,0.091931,0.662804,0.02795,0.040283,0.99613,0.857521,1.492395,0.697768,0.556099,0.773298,0.606478,3.8e-05,4.9e-05,0.983366,0.000142,0.000233,0.370172,0.000106,0.000146,-3.547084
scenario_00133,1,1,pipe-1,0.068247,0.083585,-5.374102,0.002246,0.003866,0.983779,0.017056,0.023935,0.356346,0.015299,0.021528,0.406778,5.9e-05,7.2e-05,-248.081665,4e-06,5e-06,-0.133824,3e-06,4e-06,0.0
scenario_00135,1,1,pipe-1,0.00976,0.011951,0.584649,0.005541,0.011712,0.990157,0.089006,0.168588,0.509703,0.089981,0.169835,0.547821,1.2e-05,1.4e-05,0.974685,1.8e-05,3.3e-05,-6288.831543,1.8e-05,3.4e-05,-2.362508
scenario_00136,1,1,pipe-1,0.010345,0.01267,0.947506,0.012225,0.017498,0.995473,0.484025,0.636837,0.555511,0.294482,0.348014,0.36046,7e-06,1e-05,0.996684,9.4e-05,0.000121,-0.191885,5.9e-05,7e-05,-13.747606
scenario_00134,1,1,pipe-1,0.070073,0.085864,0.708794,0.041963,0.0691,0.991755,0.693014,1.067409,0.424129,0.978894,1.554083,0.805407,6.2e-05,7.3e-05,0.974858,0.000129,0.000195,-14.509059,0.000157,0.000236,0.492132
scenario_00137,1,1,pipe-1,0.010175,0.012462,0.922533,0.012883,0.018398,0.990262,0.427691,0.550443,0.616315,0.305016,0.364975,0.177736,9e-06,1.2e-05,0.9905,8.4e-05,0.000106,-0.042312,6.2e-05,7.3e-05,-4.633989
scenario_00138,1,1,pipe-1,0.012442,0.016152,0.977746,0.035522,0.058596,0.984635,0.429713,0.548075,0.694582,0.335566,0.421268,0.699461,2.2e-05,3.6e-05,0.984508,8.8e-05,0.000114,-0.028884,6.5e-05,7.8e-05,-0.960505
scenario_00139,1,1,pipe-1,0.009742,0.011932,0.10317,0.001774,0.003415,0.966648,0.011644,0.017782,0.782478,0.014901,0.023671,-0.130797,7e-06,9e-06,0.576392,3e-06,4e-06,0.237608,3e-06,5e-06,0.0
scenario_00140,1,1,pipe-1,0.010125,0.012394,0.998108,0.101104,0.181759,0.984258,0.556956,0.916718,0.825689,0.791577,1.452847,0.874385,7.3e-05,0.000126,0.975587,8.8e-05,0.000146,-40.340393,0.000135,0.000235,0.493538
scenario_00142,1,1,pipe-1,0.010204,0.012496,0.928325,0.002065,0.00358,0.999414,0.140952,0.177773,0.790266,0.219806,0.25664,0.312667,9e-06,1e-05,0.986082,3e-05,3.7e-05,0.015978,4.6e-05,5.4e-05,-3.898203
scenario_00141,1,1,pipe-1,0.009751,0.011941,-0.233205,0.001751,0.003434,0.909741,0.014117,0.015884,0.106,0.016228,0.022923,-2.285374,7e-06,9e-06,-41.959396,3e-06,3e-06,-4.563749,3e-06,4e-06,0.0
scenario_00143,1,1,pipe-1,0.009748,0.011939,0.246803,0.00172,0.003259,0.990002,0.021077,0.03694,0.497959,0.025899,0.048048,0.844861,7e-06,9e-06,0.768772,4e-06,8e-06,0.0,5e-06,1e-05,0.562634
scenario_00144,1,1,pipe-1,0.029667,0.06862,0.647507,0.104452,0.299882,0.581554,0.334954,0.547129,0.431005,0.353298,0.559014,-0.197442,6.5e-05,0.00017,0.635459,4.4e-05,5.5e-05,-0.192586,4.8e-05,5.5e-05,-2.439392
scenario_00145,1,1,pipe-1,0.009748,0.011939,0.212879,0.001864,0.003593,0.955162,0.015004,0.018668,0.167079,0.016551,0.021917,0.707111,7e-06,9e-06,-3.689702,3e-06,4e-06,-55.833996,3e-06,4e-06,-0.033977
scenario_00146,1,1,pipe-1,0.010732,0.013168,0.991226,0.027325,0.039856,0.996013,0.858199,1.492978,0.694361,0.55542,0.772654,0.597156,1.5e-05,2.3e-05,0.996404,0.000142,0.000233,0.370178,0.000106,0.000146,-3.54714
scenario_00148,1,1,pipe-1,0.010004,0.012252,0.995117,0.041677,0.068775,0.992187,0.692909,1.067233,0.437461,0.978908,1.554158,0.807384,2.9e-05,4.7e-05,0.989465,0.000129,0.000195,-14.50915,0.000157,0.000236,0.492134
scenario_00147,1,1,pipe-1,0.009742,0.011932,-0.009104,0.001696,0.003356,0.894815,0.017404,0.024003,0.297948,0.014768,0.02139,-2.299511,7e-06,9e-06,-2.89238,4e-06,5e-06,-0.133989,3e-06,4e-06,0.0
scenario_00149,1,1,pipe-1,0.024769,0.030333,-1.788161,0.005611,0.01173,0.988727,0.089032,0.168605,0.474664,0.090001,0.169819,0.527764,2.5e-05,2.7e-05,0.896456,1.8e-05,3.3e-05,-6288.834961,1.8e-05,3.4e-05,-2.362506
scenario_00150,1,1,pipe-1,0.026228,0.032128,0.776862,0.012306,0.017565,0.995799,0.483959,0.636644,0.564984,0.294547,0.348201,0.391802,1.4e-05,1.8e-05,0.988111,9.4e-05,0.000121,-0.191904,5.9e-05,7e-05,-13.74725
scenario_00152,1,1,pipe-1,0.027376,0.033559,0.922064,0.025323,0.043116,0.991938,0.430323,0.531149,0.713512,0.302026,0.348358,0.798805,2.2e-05,2.6e-05,0.991828,8.4e-05,0.000104,0.150609,6.2e-05,7.1e-05,-0.600153
scenario_00151,1,1,pipe-1,0.025801,0.031604,0.683097,0.013047,0.01842,0.991186,0.427567,0.550205,0.624161,0.305174,0.365164,0.2008,1.8e-05,2e-05,0.97104,8.4e-05,0.000106,-0.042284,6.2e-05,7.3e-05,-4.634163
scenario_00153,1,1,pipe-1,0.024735,0.030295,-0.300268,0.001788,0.003344,0.980715,0.011491,0.017715,0.837069,0.014952,0.023666,0.282653,2e-05,2.5e-05,-2.252461,3e-06,4e-06,0.237532,3e-06,5e-06,0.0
scenario_00154,1,1,pipe-1,0.025669,0.031435,0.986633,0.101416,0.181826,0.983952,0.557199,0.916745,0.823465,0.791787,1.452858,0.873496,8.3e-05,0.000127,0.975156,8.8e-05,0.000146,-40.340405,0.000135,0.000235,0.493539
scenario_00155,1,1,pipe-1,0.024747,0.030308,-0.388015,0.001851,0.003427,0.983023,0.013916,0.015704,0.733174,0.016334,0.022889,0.298962,2e-05,2.5e-05,-330.392883,3e-06,3e-06,-4.566779,3e-06,4e-06,0.0
scenario_00156,1,1,pipe-1,0.025876,0.031696,0.595498,0.002164,0.003624,0.999395,0.141136,0.177923,0.781235,0.219976,0.256846,0.294912,2.3e-05,2.6e-05,0.911074,3e-05,3.7e-05,0.015976,4.6e-05,5.4e-05,-3.898189
scenario_00159,1,1,pipe-1,0.026292,0.032584,-0.281429,0.006728,0.016498,0.724211,0.019439,0.026861,0.368163,0.020364,0.026129,0.741464,1.7e-05,2.3e-05,-29.94215,3e-06,4e-06,-55.911922,3e-06,4e-06,-0.033885
scenario_00158,1,1,pipe-1,0.025853,0.031726,0.923994,0.01981,0.041363,0.991916,0.198271,0.247097,0.88371,0.217582,0.24479,0.767001,2.6e-05,3.3e-05,0.986012,3.9e-05,5e-05,0.001424,4.2e-05,4.9e-05,-1.738806
scenario_00157,1,1,pipe-1,0.024742,0.030303,-0.083647,0.001787,0.003175,0.994964,0.020884,0.036852,0.652846,0.026031,0.048103,0.862298,2e-05,2.5e-05,-0.797027,4e-06,8e-06,0.0,5e-06,1e-05,0.562746
scenario_00160,1,1,pipe-1,0.027192,0.033362,0.952687,0.027593,0.039944,0.996142,0.857863,1.49275,0.696774,0.555759,0.772926,0.604201,1.3e-05,1.7e-05,0.99789,0.000142,0.000233,0.370204,0.000106,0.000146,-3.547436
scenario_00161,1,1,pipe-1,0.024724,0.030281,-0.237119,0.00182,0.003372,0.981198,0.017265,0.023984,0.259195,0.014887,0.021415,0.103454,2e-05,2.5e-05,-28.778503,4e-06,5e-06,-0.133999,3e-06,4e-06,0.0
scenario_00162,1,1,pipe-1,0.034415,0.051903,0.899098,0.121935,0.260501,0.884235,0.887488,1.44868,-0.054071,1.07031,1.616771,0.789983,8.5e-05,0.000158,0.881666,0.000142,0.000213,-17.496321,0.000144,0.000231,0.511028
scenario_00163,1,1,pipe-1,0.057764,0.064797,-2.673463,0.07245,0.170278,-1.721946,0.273076,0.538733,-4.848265,0.2752,0.541506,-4.042918,8.8e-05,0.000125,-1.145267,3.1e-05,5.2e-05,-14983.589844,3.1e-05,5.2e-05,-7.026881
scenario_00164,1,1,pipe-1,0.048104,0.058927,0.549724,0.012815,0.018117,0.996013,0.483429,0.635669,0.578737,0.295078,0.349128,0.4304,3.1e-05,3.8e-05,0.947702,9.4e-05,0.000121,-0.191878,5.9e-05,7e-05,-13.747815
scenario_00165,1,1,pipe-1,0.047332,0.057978,0.403,0.013765,0.019231,0.991697,0.426907,0.549114,0.635871,0.30589,0.366095,0.231532,3.4e-05,4e-05,0.888161,8.4e-05,0.000106,-0.042296,6.2e-05,7.3e-05,-4.633985
scenario_00166,1,1,pipe-1,0.050132,0.061456,0.803308,0.02623,0.045337,0.991482,0.429623,0.530075,0.715417,0.302795,0.349201,0.803798,3.2e-05,3.9e-05,0.981844,8.4e-05,0.000104,0.150615,6.2e-05,7.1e-05,-0.600211
scenario_00168,1,1,pipe-1,0.094528,0.174194,0.531633,0.28788,0.697116,0.757983,0.577931,0.952273,0.806163,1.108836,2.388154,0.654851,0.000184,0.000339,0.823114,7.8e-05,0.000128,-30.683517,0.000145,0.000259,0.383354
scenario_00167,1,1,pipe-1,0.045415,0.055622,-0.350628,0.002222,0.003791,0.991679,0.011219,0.017727,0.907784,0.015377,0.023798,0.717419,3.8e-05,4.7e-05,-10.515182,3e-06,4e-06,0.237736,3e-06,5e-06,0.0
scenario_00169,1,1,pipe-1,0.045442,0.055655,-0.379194,0.002281,0.0039,0.993377,0.013522,0.015529,0.908675,0.016764,0.023109,0.776412,3.8e-05,4.7e-05,-1177.541992,3e-06,3e-06,-4.567134,3e-06,4e-06,0.0
scenario_00171,1,1,pipe-1,0.045433,0.055644,-0.197251,0.002275,0.003798,0.996507,0.021243,0.037005,0.785703,0.026433,0.048102,0.885937,3.8e-05,4.7e-05,-5.365816,4e-06,8e-06,0.0,5e-06,1e-05,0.562684
scenario_00170,1,1,pipe-1,0.047458,0.058136,0.112261,0.002514,0.004027,0.999276,0.14148,0.178135,0.76899,0.220328,0.257264,0.275415,4.1e-05,4.9e-05,0.697703,3e-05,3.7e-05,0.015981,4.6e-05,5.4e-05,-3.898178
scenario_00172,1,1,pipe-1,0.047424,0.058194,0.757694,0.020344,0.041413,0.991752,0.197314,0.245767,0.88481,0.218099,0.245704,0.761177,3.9e-05,4.5e-05,0.974714,3.9e-05,5e-05,0.001419,4.2e-05,4.9e-05,-1.738791
scenario_00173,1,1,pipe-1,0.045442,0.055655,-0.213357,0.002752,0.004771,0.991821,0.014314,0.018561,0.884044,0.017432,0.02247,0.895928,3.8e-05,4.7e-05,-127.970642,3e-06,4e-06,-55.833523,3e-06,4e-06,-0.033984
scenario_00174,1,1,pipe-1,0.049836,0.061139,0.874086,0.027793,0.039921,0.996339,0.857732,1.492531,0.700026,0.555889,0.773105,0.613881,1.9e-05,2.8e-05,0.994588,0.000142,0.000233,0.370204,0.000106,0.000146,-3.547461
scenario_00175,1,1,pipe-1,0.045401,0.055605,-0.289131,0.002185,0.003763,0.993324,0.017,0.023886,0.630676,0.015252,0.021452,0.751945,3.8e-05,4.7e-05,-105.101646,4e-06,5e-06,-0.133803,3e-06,4e-06,0.0
scenario_00176,1,1,pipe-1,0.04659,0.057086,0.851802,0.041554,0.068586,0.991609,0.692881,1.067143,0.414617,0.979041,1.554201,0.803902,4.4e-05,5.6e-05,0.985034,0.000129,0.000195,-14.509066,0.000157,0.000236,0.492132
scenario_00177,1,1,pipe-1,0.004866,0.005957,0.881002,0.005533,0.011714,0.989853,0.089022,0.168573,0.502327,0.090026,0.16985,0.543259,7e-06,1.1e-05,0.984728,1.8e-05,3.3e-05,-6288.784668,1.8e-05,3.4e-05,-2.362533
scenario_00178,1,1,pipe-1,0.00516,0.006318,0.988075,0.012218,0.017765,0.995415,0.484033,0.636847,0.557489,0.294474,0.348033,0.367397,7e-06,1.1e-05,0.995376,9.4e-05,0.000121,-0.191885,5.9e-05,7e-05,-13.747602
scenario_00179,1,1,pipe-1,0.005069,0.006208,0.982521,0.012807,0.018449,0.990417,0.42778,0.550434,0.617947,0.304945,0.364949,0.182883,8e-06,1.2e-05,0.989176,8.4e-05,0.000106,-0.04229,6.2e-05,7.3e-05,-4.634122
scenario_00180,1,1,pipe-1,0.005384,0.006597,0.99645,0.024645,0.041887,0.9922,0.430625,0.531625,0.712705,0.301922,0.348072,0.795754,1.6e-05,2.8e-05,0.990518,8.4e-05,0.000104,0.150614,6.2e-05,7.1e-05,-0.60019
scenario_00181,1,1,pipe-1,0.004856,0.005948,0.848571,0.001772,0.003417,0.967232,0.011673,0.017807,0.79033,0.014898,0.023649,-0.087817,3e-06,4e-06,0.909063,3e-06,4e-06,0.237576,3e-06,5e-06,0.0
scenario_00182,1,1,pipe-1,0.005048,0.006176,0.999521,0.101128,0.181716,0.984203,0.556945,0.9167,0.825225,0.791619,1.452838,0.874197,7e-05,0.000126,0.975562,8.8e-05,0.000146,-40.340393,0.000135,0.000235,0.493538
scenario_00183,1,1,pipe-1,0.004866,0.005959,0.813307,0.001725,0.00338,0.945185,0.014102,0.015835,0.335612,0.0162,0.022883,-1.151563,3e-06,4e-06,-8.064581,3e-06,3e-06,-4.563723,3e-06,4e-06,0.0
scenario_00184,1,1,pipe-1,0.005089,0.006231,0.982338,0.001964,0.003524,0.99943,0.141047,0.177829,0.788268,0.219899,0.256656,0.308749,5e-06,6e-06,0.996007,3e-05,3.7e-05,0.015968,4.6e-05,5.4e-05,-3.89822
scenario_00185,1,1,pipe-1,0.004861,0.005954,0.876859,0.001715,0.003269,0.991253,0.021093,0.036933,0.534717,0.025915,0.04808,0.848422,3e-06,4e-06,0.952562,4e-06,8e-06,0.0,5e-06,1e-05,0.562633
scenario_00186,1,1,pipe-1,0.005077,0.00623,0.997079,0.019403,0.041172,0.992085,0.198572,0.247667,0.883352,0.217153,0.244273,0.770608,1.6e-05,3.4e-05,0.985843,3.9e-05,5e-05,0.001434,4.2e-05,4.9e-05,-1.738822
scenario_00187,1,1,pipe-1,0.004867,0.00596,0.871921,0.001845,0.00352,0.968643,0.015028,0.018665,0.343979,0.0165,0.021841,0.736784,3e-06,4e-06,0.024945,3e-06,4e-06,-55.848915,3e-06,4e-06,-0.034303
scenario_00188,1,1,pipe-1,0.00535,0.006564,0.9979,0.027043,0.039387,0.996138,0.858431,1.493017,0.694847,0.555189,0.772534,0.598872,1.8e-05,2.6e-05,0.995344,0.000142,0.000233,0.370158,0.000106,0.000146,-3.546936
scenario_00189,1,1,pipe-1,0.004857,0.005949,0.844305,0.001682,0.003335,0.935093,0.017393,0.02403,0.248722,0.014752,0.021419,-1.604929,3e-06,4e-06,0.172526,4e-06,5e-06,-0.133988,3e-06,4e-06,0.0
scenario_00190,1,1,pipe-1,0.004986,0.006102,0.998752,0.041534,0.068626,0.992167,0.692946,1.067205,0.435462,0.978916,1.554168,0.807072,2.9e-05,4.8e-05,0.989063,0.000129,0.000195,-14.509151,0.000157,0.000236,0.492134
scenario_00191,1,1,pipe-1,0.012349,0.015122,0.572972,0.005613,0.011736,0.988001,0.089045,0.168587,0.455826,0.090082,0.169839,0.517644,1.4e-05,1.6e-05,0.966575,1.8e-05,3.3e-05,-6288.834961,1.8e-05,3.4e-05,-2.362506
scenario_00192,1,1,pipe-1,0.013086,0.016029,0.955079,0.012332,0.01758,0.995978,0.483904,0.63651,0.570132,0.294603,0.348329,0.40821,8e-06,1e-05,0.996508,9.4e-05,0.000121,-0.191856,5.9e-05,7e-05,-13.748275
scenario_00193,1,1,pipe-1,0.01286,0.015752,0.938088,0.013147,0.01882,0.991311,0.427553,0.550038,0.628464,0.305262,0.365389,0.213348,1e-05,1.2e-05,0.989396,8.4e-05,0.000106,-0.042326,6.2e-05,7.3e-05,-4.633823
scenario_00194,1,1,pipe-1,0.013657,0.016739,0.982704,0.025348,0.043565,0.991914,0.429706,0.530606,0.714369,0.302622,0.34881,0.800654,1.7e-05,2.6e-05,0.991737,8.4e-05,0.000104,0.150618,6.2e-05,7.1e-05,-0.600209
scenario_00195,1,1,pipe-1,0.012335,0.015108,0.812415,0.001868,0.003504,0.986622,0.011584,0.017824,0.867422,0.015029,0.023749,0.509151,9e-06,1.2e-05,0.298627,3e-06,4e-06,0.237527,3e-06,5e-06,0.0
scenario_00196,1,1,pipe-1,0.012796,0.015666,0.996504,0.101094,0.181706,0.983811,0.556909,0.916699,0.822267,0.791427,1.452824,0.873017,7.5e-05,0.000126,0.975594,8.8e-05,0.000146,-40.340378,0.000135,0.000235,0.493538
scenario_00197,1,1,pipe-1,0.012346,0.01512,0.804962,0.001892,0.003519,0.989766,0.01387,0.015681,0.834646,0.016369,0.022906,0.59016,9e-06,1.2e-05,-70.292091,3e-06,3e-06,-4.563856,3e-06,4e-06,0.0
scenario_00198,1,1,pipe-1,0.012905,0.015805,0.913344,0.002136,0.003604,0.999406,0.141083,0.177905,0.776618,0.219927,0.256806,0.287541,1.2e-05,1.3e-05,0.978251,3e-05,3.7e-05,0.015968,4.6e-05,5.4e-05,-3.89821
scenario_00199,1,1,pipe-1,0.012343,0.015118,0.838929,0.001844,0.003267,0.996086,0.020977,0.03695,0.714107,0.026037,0.0481,0.871917,9e-06,1.2e-05,0.615497,4e-06,8e-06,0.0,5e-06,1e-05,0.562588
scenario_00200,1,1,pipe-1,0.01289,0.015818,0.981352,0.019608,0.040729,0.992104,0.19796,0.246813,0.883905,0.217359,0.244741,0.765434,1.8e-05,3.1e-05,0.987633,3.9e-05,5e-05,0.001415,4.2e-05,4.9e-05,-1.738824
scenario_00201,1,1,pipe-1,0.012348,0.015124,0.835943,0.002106,0.003765,0.991032,0.014833,0.018632,0.801531,0.01679,0.022011,0.857447,9e-06,1.1e-05,-6.66476,3e-06,4e-06,-55.836319,3e-06,4e-06,-0.033968
scenario_00202,1,1,pipe-1,0.013567,0.016645,0.989278,0.02724,0.039497,0.996304,0.858237,1.492817,0.698009,0.555385,0.772766,0.60832,1.4e-05,2.1e-05,0.996983,0.000142,0.000233,0.370178,0.000106,0.000146,-3.547164
scenario_00203,1,1,pipe-1,0.012333,0.015105,0.821841,0.001849,0.003444,0.989105,0.017307,0.02402,0.402123,0.014918,0.021461,0.503255,9e-06,1.2e-05,-5.420602,4e-06,5e-06,-0.133786,3e-06,4e-06,0.0
scenario_00204,1,1,pipe-1,0.012664,0.015512,0.990267,0.041463,0.068456,0.991864,0.692582,1.066947,0.422994,0.979279,1.554316,0.805101,2.9e-05,4.7e-05,0.989693,0.000129,0.000195,-14.508986,0.000157,0.000236,0.49213
scenario_00205,1,1,pipe-1,0.022676,0.02777,0.669595,0.005863,0.011773,0.986316,0.088784,0.168589,0.395022,0.090304,0.169843,0.490647,2.3e-05,2.5e-05,0.913503,1.8e-05,3.3e-05,-6288.746094,1.8e-05,3.4e-05,-2.362554
scenario_00206,1,1,pipe-1,0.023992,0.029388,0.918731,0.012942,0.018491,0.996179,0.483319,0.635326,0.58805,0.295187,0.349465,0.457947,1.2e-05,1.6e-05,0.990703,9.4e-05,0.000121,-0.191887,5.9e-05,7e-05,-13.747614
scenario_00207,1,1,pipe-1,0.0236,0.028908,0.896586,0.013622,0.018939,0.992765,0.427054,0.54919,0.643125,0.305755,0.365898,0.258472,1.6e-05,1.8e-05,0.977046,8.4e-05,0.000106,-0.042281,6.2e-05,7.3e-05,-4.634279
scenario_00208,1,1,pipe-1,0.025005,0.030651,0.959844,0.026375,0.046527,0.991337,0.42898,0.529451,0.716852,0.303504,0.349769,0.807527,2.2e-05,2.8e-05,0.990841,8.4e-05,0.000104,0.150623,6.2e-05,7.1e-05,-0.600237
scenario_00209,1,1,pipe-1,0.02265,0.027741,0.809576,0.002157,0.003673,0.995732,0.011176,0.017701,0.93837,0.015324,0.023785,0.838045,1.8e-05,2.2e-05,-1.599448,3e-06,4e-06,0.237829,3e-06,5e-06,0.0
