,pred_pipe1,pred_pipe2,pred_pipe3,pred_pipe4,pred_pipe5
true_pipe1,0.9281,0.024,0.024,0.0,0.024
true_pipe2,0.3214,0.6429,0.0119,0.0,0.0238
true_pipe3,0.0,0.0,0.0119,0.1845,0.8036
true_pipe4,0.0,0.0,0.2143,0.0238,0.7619
true_pipe5,0.0,0.0,0.2143,0.0238,0.7619
