,pred_pipe1,pred_pipe2,pred_pipe3,pred_pipe4,pred_pipe5
true_pipe1,0.9359,0.0064,0.0577,0.0,0.0
true_pipe2,0.0195,0.9156,0.0065,0.0584,0.0
true_pipe3,0.0,0.0,0.9333,0.04,0.0267
true_pipe4,0.0,0.0,0.5078,0.3672,0.125
true_pipe5,0.0,0.0,0.4375,0.4297,0.1328
