group,n,det_accuracy,n_leak,pipe_accuracy
no-leak,48,0.6875,0,N/A
pipe-1,168,0.994,168,0.9226
pipe-2,168,1.0,168,0.6429
pipe-3,168,1.0,168,0.0119
pipe-4,168,1.0,168,0.0238
pipe-5,168,1.0,168,0.7619
ALL,888,0.982,840,0.4726
