,pred_pipe1,pred_pipe2,pred_pipe3,pred_pipe4,pred_pipe5
true_pipe1,155,4,4,0,4
true_pipe2,54,108,2,0,4
true_pipe3,0,0,2,31,135
true_pipe4,0,0,36,4,128
true_pipe5,0,0,36,4,128
