pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,148,30,20,0.8315,0.881,0.8555,168,178
2,137,5,31,0.9648,0.8155,0.8839,168,142
3,125,78,43,0.6158,0.744,0.6739,168,203
4,87,129,81,0.4028,0.5179,0.4531,168,216
5,40,79,128,0.3361,0.2381,0.2787,168,119
