,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.881,0.0,0.0714,0.0,0.0476
true_pipe_2,0.0476,0.8155,0.0,0.0536,0.0833
true_pipe_3,0.0238,0.0,0.744,0.131,0.1012
true_pipe_4,0.0417,0.0,0.2143,0.5179,0.2262
true_pipe_5,0.0238,0.0,0.1726,0.5655,0.2381
