,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.9345,0.0,0.0417,0.0238,0.0
true_pipe_2,0.0417,0.9345,0.0179,0.0,0.006
true_pipe_3,0.0238,0.0238,0.5714,0.0,0.381
true_pipe_4,0.006,0.0714,0.0476,0.875,0.0
true_pipe_5,0.0,0.0238,0.0774,0.0,0.8988
