pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,157,21,11,0.882,0.9345,0.9075,168,178
2,157,24,11,0.8674,0.9345,0.8997,168,181
3,96,34,72,0.7385,0.5714,0.6443,168,130
4,147,9,21,0.9423,0.875,0.9074,168,156
5,151,67,17,0.6927,0.8988,0.7824,168,218
