pipe_id,n_matched,mae,rmse,r2
1,157,0.149992,0.204007,0.163021
2,157,0.11995,0.162937,0.471686
3,96,0.153855,0.179825,0.225126
4,147,0.153059,0.180706,0.343281
5,151,0.205498,0.247413,-0.230882
