,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.994,0.0,0.0,0.006,0.0
true_pipe_2,0.0476,0.0,0.0714,0.3333,0.5476
true_pipe_3,0.0476,0.0,0.0476,0.3631,0.5417
true_pipe_4,0.0476,0.0,0.0536,0.3571,0.5417
true_pipe_5,0.0476,0.0,0.006,0.3869,0.5595
