pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,167,32,1,0.8392,0.994,0.9101,168,199
2,0,0,168,0.0,0.0,0.0,168,0
3,8,22,160,0.2667,0.0476,0.0808,168,30
4,60,203,108,0.2281,0.3571,0.2784,168,263
5,94,274,74,0.2554,0.5595,0.3507,168,368
