pipe_id,n_matched,mae,rmse,r2
1,167,0.171616,0.199937,0.1966
2,0,,,
3,8,0.194875,0.21859,-0.076763
4,60,0.200794,0.225938,-0.023003
5,94,0.200058,0.223707,-0.001257
