pipe_id,n_matched,mae,rmse,r2
1,144,0.139165,0.194647,0.242253
2,108,0.161292,0.190855,0.104938
3,43,0.197157,0.223016,-0.014587
4,85,0.201616,0.225494,-0.007717
5,23,0.199316,0.234945,-0.147817
