,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.8571,0.0,0.0417,0.0298,0.0714
true_pipe_2,0.0417,0.6429,0.0595,0.2202,0.0357
true_pipe_3,0.0476,0.0,0.256,0.506,0.1905
true_pipe_4,0.0476,0.0,0.256,0.506,0.1905
true_pipe_5,0.0476,0.0,0.2381,0.5774,0.1369
