pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,144,42,24,0.7742,0.8571,0.8136,168,186
2,108,0,60,1.0,0.6429,0.7826,168,108
3,43,102,125,0.2966,0.256,0.2748,168,145
4,85,228,83,0.2716,0.506,0.3534,168,313
5,23,82,145,0.219,0.1369,0.1685,168,105
