configuration,placement_strategy,k_budget,model_name,pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
"P4, Q1a",Utility-style anchored,2,S2-D,3,64,122,104,0.3441,0.381,0.3616,168,186
"P4, Q1a",Utility-style anchored,2,S2-D,4,4,5,164,0.4444,0.0238,0.0452,168,9
"P4, Q1a",Utility-style anchored,2,S2-D,5,146,254,22,0.365,0.869,0.5141,168,400
"Q1a, Q3a",GA,2,S2-G,1,44,47,124,0.4835,0.2619,0.3398,168,91
"Q1a, Q3a",GA,2,S2-G,2,90,91,78,0.4972,0.5357,0.5158,168,181
"Q1a, Q3a",GA,2,S2-G,3,56,136,112,0.2917,0.3333,0.3111,168,192
"Q1a, Q3a",GA,2,S2-G,4,16,89,152,0.1524,0.0952,0.1172,168,105
"Q1a, Q3a",GA,2,S2-G,5,96,192,72,0.3333,0.5714,0.4211,168,288
Q3a,GA,1,S1-E,1,108,108,60,0.5,0.6429,0.5625,168,216
Q3a,GA,1,S1-E,2,0,0,168,0.0,0.0,0.0,168,0
Q3a,GA,1,S1-E,3,64,128,104,0.3333,0.381,0.3556,168,192
Q3a,GA,1,S1-E,4,16,113,152,0.124,0.0952,0.1077,168,129
Q3a,GA,1,S1-E,5,88,228,80,0.2785,0.5238,0.3636,168,316
