pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,86,27,82,0.7611,0.5119,0.6121,168,113
2,109,12,59,0.9008,0.6488,0.7543,168,121
3,167,114,1,0.5943,0.994,0.7439,168,281
4,160,28,8,0.8511,0.9524,0.8989,168,188
5,160,2,8,0.9877,0.9524,0.9697,168,162
