,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.5119,0.0595,0.3095,0.119,0.0
true_pipe_2,0.1429,0.6488,0.2083,0.0,0.0
true_pipe_3,0.0,0.0,0.994,0.0,0.006
true_pipe_4,0.0,0.0,0.0476,0.9524,0.0
true_pipe_5,0.0,0.0,0.0476,0.0,0.9524
