pipe_id,n_matched,mae,rmse,r2
1,86,0.173229,0.200085,0.165001
2,109,0.232018,0.284153,-0.695602
3,167,0.150826,0.18701,0.297131
4,160,0.184368,0.225838,-0.02057
5,160,0.175122,0.225842,-0.020375
