pipe_id,n_matched,mae,rmse,r2
1,21,0.145672,0.169192,0.292371
2,41,0.201672,0.226735,-0.009561
3,40,0.199847,0.224934,-0.011904
4,168,0.199754,0.225803,-0.019738
5,64,0.19989,0.224935,-0.011918
