pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,21,5,147,0.8077,0.125,0.2165,168,26
2,41,130,127,0.2398,0.244,0.2419,168,171
3,40,128,128,0.2381,0.2381,0.2381,168,168
4,168,121,0,0.5813,1.0,0.7352,168,289
5,64,141,104,0.3122,0.381,0.3432,168,205
