pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,138,6,30,0.9583,0.8214,0.8846,168,144
2,160,34,8,0.8247,0.9524,0.884,168,194
3,103,15,65,0.8729,0.6131,0.7203,168,118
4,166,0,2,1.0,0.9881,0.994,168,166
5,165,67,3,0.7112,0.9821,0.825,168,232
