scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,1,0,-1.0,0.4857,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,2,0,-1.0,0.5141,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,5,0,-1.0,0.5052,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,2,0,-1.0,0.5601,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.4064,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,0,1,-1,1,0,-1.0,0.6425,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.4049,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,0,1,-1,2,0,-1.0,0.6277,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.4309,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,2,0,-1.0,0.5726,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.4239,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,2,0,-1.0,0.6511,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.4031,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,5,0,-1.0,0.586,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,1,0,-1.0,0.5624,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,1,0,-1,1,0,-1.0,0.6496,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.4778,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,2,0,-1.0,0.5504,,none,0,0,0,0,0,0
19,scenario_00019,base3.inp,0,0,1,-1,1,0,-1.0,0.4697,,none,0,0,0,0,0,0
20,scenario_00020,base3.inp,0,1,0,-1,3,0,-1.0,0.523,,none,0,0,0,0,0,0
21,scenario_00021,base3.inp,0,0,1,-1,1,0,-1.0,0.4681,,none,0,0,0,0,0,0
22,scenario_00022,base3.inp,0,1,0,-1,2,0,-1.0,0.4087,,none,0,0,0,0,0,0
23,scenario_00023,base3.inp,0,1,0,-1,2,0,-1.0,0.7007,,none,0,0,0,0,0,0
24,scenario_00024,base3.inp,0,0,1,-1,1,0,-1.0,0.414,,none,0,0,0,0,0,0
25,scenario_00025,base3.inp,0,0,1,-1,1,0,-1.0,0.409,,none,0,0,0,0,0,0
26,scenario_00026,base3.inp,0,0,1,-1,1,0,-1.0,0.5666,,none,0,0,0,0,0,0
27,scenario_00027,base3.inp,0,0,1,-1,1,0,-1.0,0.555,,none,0,0,0,0,0,0
28,scenario_00028,base3.inp,0,0,1,-1,5,0,-1.0,0.5754,,none,0,0,0,0,0,0
29,scenario_00029,base3.inp,0,0,1,-1,1,0,-1.0,0.4813,,none,0,0,0,0,0,0
30,scenario_00030,base3.inp,0,1,0,-1,2,0,-1.0,0.4279,,none,0,0,0,0,0,0
31,scenario_00031,base3.inp,0,1,0,-1,5,0,-1.0,0.5026,,none,0,0,0,0,0,0
32,scenario_00032,base3.inp,0,1,0,-1,2,0,-1.0,0.5757,,none,0,0,0,0,0,0
33,scenario_00033,base3.inp,0,0,1,-1,1,0,-1.0,0.4138,,none,0,0,0,0,0,0
34,scenario_00034,base3.inp,0,0,1,-1,1,0,-1.0,0.6867,,none,0,0,0,0,0,0
35,scenario_00035,base3.inp,0,0,1,-1,1,0,-1.0,0.4048,,none,0,0,0,0,0,0
36,scenario_00036,base3.inp,0,0,1,-1,3,0,-1.0,0.6121,,none,0,0,0,0,0,0
37,scenario_00037,base3.inp,0,0,1,-1,1,0,-1.0,0.431,,none,0,0,0,0,0,0
38,scenario_00038,base3.inp,0,0,1,-1,2,0,-1.0,0.5662,,none,0,0,0,0,0,0
39,scenario_00039,base3.inp,0,0,1,-1,1,0,-1.0,0.4234,,none,0,0,0,0,0,0
40,scenario_00040,base3.inp,0,1,0,-1,2,0,-1.0,0.6597,,none,0,0,0,0,0,0
