pipe_id,n_matched,mae,rmse,r2
1,138,0.118529,0.145068,0.574165
2,160,0.123397,0.159008,0.49433
3,103,0.176608,0.209267,0.099761
4,166,0.128002,0.162937,0.468968
5,165,0.184129,0.216588,0.047372
