,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.8214,0.1548,0.0238,0.0,0.0
true_pipe_2,0.0238,0.9524,0.0238,0.0,0.0
true_pipe_3,0.0,0.0,0.6131,0.0,0.3869
true_pipe_4,0.0,0.0,0.0119,0.9881,0.0
true_pipe_5,0.0,0.0,0.0179,0.0,0.9821
