pipe_id,n_matched,mae,rmse,r2
1,106,0.16558,0.205709,0.125727
2,164,0.160577,0.189456,0.267045
3,119,0.149972,0.176196,0.317852
4,128,0.199657,0.229492,-0.053331
5,153,0.162437,0.198517,0.182851
