,pred_pipe_1,pred_pipe_2,pred_pipe_3,pred_pipe_4,pred_pipe_5
true_pipe_1,0.631,0.2143,0.0476,0.1071,0.0
true_pipe_2,0.0119,0.9762,0.0,0.0119,0.0
true_pipe_3,0.0,0.0,0.7083,0.2917,0.0
true_pipe_4,0.0,0.0238,0.0298,0.7619,0.1845
true_pipe_5,0.0,0.0119,0.0,0.0774,0.9107
