pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,106,4,62,0.9636,0.631,0.7626,168,110
2,164,53,4,0.7558,0.9762,0.8519,168,217
3,119,13,49,0.9015,0.7083,0.7933,168,132
4,128,84,40,0.6038,0.7619,0.6737,168,212
5,153,39,15,0.7969,0.9107,0.85,168,192
