pipe_id,tp,fp,fn,precision,recall,f1,support_true,predicted_total
1,141,14,27,0.9097,0.8393,0.8731,168,155
2,115,1,53,0.9914,0.6845,0.8099,168,116
3,50,99,118,0.3356,0.2976,0.3155,168,149
4,163,1,5,0.9939,0.9702,0.9819,168,164
5,144,125,24,0.5353,0.8571,0.659,168,269
