scenario_id,scenario,source_inp,true_detect,pred_detect,detect_correct,true_pipe,pred_pipe,pipe_correct,true_pos,pred_pos,pos_error,true_size,tp_pipe,fp_pipe,fn_pipe,tp_pos,fp_pos,fn_pos
1,scenario_00001,base3.inp,0,0,1,-1,1,0,-1.0,0.7018,,none,0,0,0,0,0,0
2,scenario_00002,base3.inp,0,1,0,-1,3,0,-1.0,0.4021,,none,0,0,0,0,0,0
3,scenario_00003,base3.inp,0,1,0,-1,5,0,-1.0,0.4654,,none,0,0,0,0,0,0
4,scenario_00004,base3.inp,0,1,0,-1,1,0,-1.0,0.4925,,none,0,0,0,0,0,0
5,scenario_00005,base3.inp,0,0,1,-1,1,0,-1.0,0.7246,,none,0,0,0,0,0,0
6,scenario_00006,base3.inp,0,0,1,-1,1,0,-1.0,0.8266,,none,0,0,0,0,0,0
7,scenario_00007,base3.inp,0,0,1,-1,1,0,-1.0,0.7261,,none,0,0,0,0,0,0
8,scenario_00008,base3.inp,0,0,1,-1,1,0,-1.0,0.6897,,none,0,0,0,0,0,0
9,scenario_00009,base3.inp,0,0,1,-1,1,0,-1.0,0.6528,,none,0,0,0,0,0,0
10,scenario_00010,base3.inp,0,0,1,-1,1,0,-1.0,0.6621,,none,0,0,0,0,0,0
11,scenario_00011,base3.inp,0,0,1,-1,1,0,-1.0,0.7193,,none,0,0,0,0,0,0
12,scenario_00012,base3.inp,0,1,0,-1,3,0,-1.0,0.5169,,none,0,0,0,0,0,0
13,scenario_00013,base3.inp,0,0,1,-1,1,0,-1.0,0.7303,,none,0,0,0,0,0,0
14,scenario_00014,base3.inp,0,0,1,-1,2,0,-1.0,0.6208,,none,0,0,0,0,0,0
15,scenario_00015,base3.inp,0,0,1,-1,1,0,-1.0,0.6139,,none,0,0,0,0,0,0
16,scenario_00016,base3.inp,0,0,1,-1,1,0,-1.0,0.7029,,none,0,0,0,0,0,0
17,scenario_00017,base3.inp,0,0,1,-1,1,0,-1.0,0.8083,,none,0,0,0,0,0,0
18,scenario_00018,base3.inp,0,0,1,-1,2,0,-1.0,0.6051,,none,0,0,0,0,0,0
